,title,isbn13,loan_cnt,author,publisher,sex,age,genre
1681,코끼리,9791157410187,9,글·그림: 앤서니 브라운 ;옮김: 하빈영,현북스,,,Fiction
1682,왕할머니는 100살,9788993242928,9,이규희 글 ;신민재 그림,책읽는곰,,,Birthday parties
1683,꼬마 여우,9788992351706,9,니콜라 구니 지음|명혜권,여유당,,,Fiction
1684,종이밥,9788989646020,9,김중미 글;김환영 그림,낮은산,,,"Children's literature, Korean"
1685,또 혼났어!,9788958076728,9,고니시 다카시,뜨인돌어린이,,,Fiction
1686,내 입은 불량 입,9788955473094,9,경북봉화분교 어린이들 시·그림,크레용하우스,,,Fiction
1687,글자동물원,9788954637374,9,이안 시 ;최미란 그림,문학동네,,,"Children's poetry, Korean"
1688,가난한 사람은 왜 생길까요? :처음 이야기해 보는 세계의 빈곤 문제,9788932374741,9,"질리안 로버츠,서남희 옮김",현암사,,,Juvenile Nonfiction
1689,내향 육아 :어느 조용하고 강한 내향적인 엄마의 육아 이야기,9791190630832,10,이연진 지음,위즈덤하우스 미디어그룹,,,Family & Relationships
1690,"50, 우아한 근육 - 운동하는 동화작가 이민숙의 미라클 라이프",9791189469917,10,이민숙 (지은이),꿈의지도,,,Literary Collections
1691,야광 시계의 비밀,9791165880071,10,하이진 (지은이),북극곰,,,Juvenile Fiction
1692,노인과 소년,9791160266221,10,"박완서 (지은이), 김명석 (그림)",어린이작가정신,,,Education
1693,단위,9791156398332,10,이토 미쓰루 그림 ;정인영 옮김,스튜디오다산,,,History
1694,붕대 감기 :윤이형 소설,9791160261561,10,지은이: 윤이형,작가정신,,,Literary Collections
1695,커졌다!,9788958286219,10,서현 글·그림,사계절출판사,,,Picture books for children
1696,물의 공주,9788955475098,10,"수전 베르데 (지은이), 피터 H. 레이놀즈 (그림), 곽정아 (옮긴이)",크레용하우스,,,Fiction
1697,내 안의 차별주의자 :보통 사람들의 욕망에 숨어든 차별적 시선,9791186757628,11,라우라 비스뵈크 지음 ;장혜경 옮김,심플라이프,,,Social Science
1698,찬다 삼촌,9788958761365,11,윤재인 글 ;오승민 그림,느림보,,,Multiculturalism
1699,길 아저씨 손 아저씨,9788911026319,11,권정생 글 ;김용철 그림,국민서관,,,Cooperation
1700,아빠가 아플 때,9788960984523,14,한라경 글 ;이보라 그림,씨앤톡,,,Fiction
1701,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,9791162335123,14,트롤,아이세움,남성,30대,Impostors and imposture
1702,나는 4시간만 일한다 :디지털 노마드 시대 완전히 새로운 삶의 방식,9791185584454,14,팀 페리스 지음 ;윤동준 옮김,빛과향기,남성,30대,Social Science
1703,탤런트 코드 :재능을 지배하는 세 가지 법칙,9788901096414,4,대니얼 코일 지음 ;윤미나 옮김,웅진씽크빅,남성,30대,Business & Economics
1704,My first dictionary,9781564582775,4,written by Betty Root;illustrated by Jonathan Langley,Dorling Kindersley,남성,30대,English language
1705,STORIES OF SNOWMEN (Paperback),9781409520689,4,?Russell Punter (지은이),USBORNE EXPORT,남성,30대,Juvenile Fiction
1706,CALENDAR MYSTERIES (APRIL ADVENTURE),9780375861161,4,Ron Roy,RANDOMHOUSE,남성,30대,Juvenile Fiction
1707,Zack Files 29: Just Add Water And....Scream! (Paperback),9780448428871,4,Dan Greenburg (지은이),Grosset & Dunlap,남성,30대,Juvenile Fiction
1708,공룡을 간질간질하지 마세요!,8809264181461,4,"샘 태플린 (지은이), 아나 라라냐가 (그림)",어스본코리아,남성,30대,Education
1709,Alphabet Ice Cream : A Fantastic Fun-filled ABC (Paperback),9780141500621,4,"닉 샤렛, 수 힙 (지은이)",Puffin Books,남성,30대,Alphabet books
1710,석유는 어떻게 세계를 지배하는가 :1차 세계대전에서 금융 위기와 셰일 혁명까지 석유가 결정한 국제정치 세계경제의 33장면,9788960517318,5,최지웅 지음,부키,남성,30대,Business & Economics
1711,꼬마버스 타요 사이좋게 지내요!,9788964131251,5,기획: 키즈아이콘 ;각색: 이우진,아이코닉스 엔터테인먼트,남성,30대,Education
1712,크롱의 소원,9788964133132,5,아이코닉스 출판팀,아이코닉스,남성,30대,Juvenile Nonfiction
1713,(천재인가 미치광이인가) 도파민형 인간,9788965708636,5,"대니얼 Z. 리버먼,최가영 옮김",쌤앤파커스,남성,30대,Self-Help
1714,수호의 하얀말,9788970943114,5,오츠카 유우조 글;아카바 수에키치 그림,한림출판사,남성,30대,Folklore
1715,에이트 : 씽크 - 인공지능의 딥러닝을 이기는 동서양 천재들의 생각법,9791197126741,5,이지성 (지은이),차이정원,남성,30대,Self-Help
1716,멀티팩터 :노력으로 성공했다는 거짓말,9791190238106,5,김영준 지음,스마트북스,남성,30대,Business & Economics
1717,내 모든 습관은 여행에서 만들어졌다,9791190065696,5,김민식 지음,위즈덤하우스 미디어그룹,남성,30대,Self-Help
1718,투자 대가들의 위대한 오답 노트 :치명적인 실수를 예방하는 주식 투자 종합 백신,9791188754137,5,마이클 배트닉 지음 ;김인정 옮김,에프엔미디어,남성,30대,Business & Economics
1719,버핏클럽 =Buffett club,9791188754298,5,"지은이: 강영연,이건규",에프엔미디어,남성,30대,Business & Economics
1720,세상에서 제일 재밌는 종이접기 - 색종이 한 장이면 장난감 뚝딱!,9791186494431,5,네모아저씨 이원표 (지은이),슬로래빗,남성,30대,Origami
